Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
plate,19,19,25.65,3.84,1.26,1.00
spill,19,19,8.47,3.84,1.64,1.00
stair,19,19,1.35,3.84,1.61,1.00
bus,20,20,74.18,3.85,1.57,1.00
farm,20,20,30.04,3.85,1.50,1.00
what,22,22,9842.45,3.86,1.37,1.00
ice,21,21,79.55,3.86,1.06,1.00
spanking,21,21,1.82,3.86,2.63,1.00
kids,22,22,301.10,3.86,1.20,1.00
upstairs,22,22,70.73,3.86,1.32,1.00
home,20,20,774.33,3.87,1.88,1.00
not,21,21,5424.96,3.89,2.22,1.00
bell,18,18,39.33,3.89,1.68,1.00
boot,18,18,11.14,3.89,1.84,1.00
clean,18,18,121.24,3.89,1.49,1.00
crawl,18,18,12.04,3.89,1.23,1.00
egg,19,19,26.04,3.89,1.85,1.00
lollipop,18,18,1.78,3.89,1.75,1.00
pee,19,19,18.14,3.89,2.71,1.00
school,19,19,333.12,3.89,1.37,1.00
star,19,19,81.35,3.89,1.59,1.00
stick,18,18,97.12,3.89,1.57,1.00
story,19,19,220.78,3.89,1.59,1.00
thirsty,37,37,12.29,3.89,1.63,1.00
top,18,18,133.43,3.89,1.53,1.00
wind,19,19,59.37,3.89,1.37,1.00
worm,19,19,10.12,3.89,1.37,1.00
bedroom,21,21,36.71,3.90,1.55,1.00
downstairs,22,22,38.92,3.91,1.43,1.00
air,18,18,139.02,3.94,1.55,1.00
airplane,18,18,10.92,3.94,1.55,1.00
cow,18,18,25.51,3.94,1.63,1.00
grape,18,18,4.00,3.94,1.55,1.00
grass,18,18,16.78,3.94,1.55,1.00
number,18,18,240.94,3.94,1.59,1.00
rabbit,18,18,20.94,3.94,1.26,1.00
underwear,18,18,21.67,3.94,1.70,1.00
yard,18,18,25.06,3.94,1.70,1.00
bedtime,20,20,6.20,3.95,2.91,1.00
cold,20,20,130.16,3.95,1.79,1.00
jacket,20,20,33.41,3.95,2.09,1.00
little,19,19,1446.39,3.95,1.87,1.00
nice,19,19,649.51,3.95,1.51,1.00
pea,19,19,3.90,3.95,1.68,1.00
plant,19,19,27.61,3.95,1.65,1.00
princess,19,19,39.59,3.95,1.51,1.00
shorts,19,19,9.41,3.95,1.13,1.00
soft,22,22,32.02,3.95,1.50,1.00
sugar,19,19,37.76,3.95,1.51,1.00
tub,20,20,12.69,3.95,1.64,1.00
turkey,19,19,22.61,3.95,1.18,1.00
undressed,20,20,2.41,3.95,1.32,1.00
wiggle,19,19,2.98,3.95,1.22,1.00
to,22,22,22677.84,3.95,1.39,1.00
why,20,20,2248.76,3.97,2.11,1.00
the,21,21,29449.18,3.98,2.33,1.00
dinner,1933,1933,202.67,3.99,1.79,1.00
angel,19,19,78.27,4.00,1.29,1.00
blow,21,21,97.57,4.00,1.76,1.00
candy,18,18,35.78,4.00,1.94,1.00
color,18,18,39.43,4.00,2.87,1.00
fingernail,20,20,1.33,4.00,1.59,1.00
girl,19,19,557.12,4.00,1.89,1.00
hurt,19,19,246.35,4.00,1.45,1.00
lamp,20,20,12.88,4.00,2.08,1.00
mean,18,18,1243.98,4.00,1.68,1.00
meow,18,18,2.94,4.00,2.50,1.00
