"Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","word","word_clean","lexname","wn_category"
"register",19,19,"11.00",8.63,3,1,"register","register","noun.communication","communication"
"site",19,19,"19.22",8.63,3.09,1,"site","site","noun.location","location"
"southeast",19,19,"3.27",8.63,2.93,1,"southeast","southeast","noun.relation","noun.relation"
"stimulation",19,19,"1.37",8.63,2.29,1,"stimulation","stimulation","noun.act","act"
"strain",19,19,"7.08",8.63,2.14,1,"strain","strain","noun.phenomenon","phenomenon"
"tolerance",19,19,"2.55",8.63,2.77,1,"tolerance","tolerance","noun.attribute","attribute"
"tow",19,19,"5.78",8.63,3.53,1,"tow","tow","noun.act","act"
"tribal",19,19,"1.86",8.63,2.52,1,"tribal","tribal",NA,NA
"unique",19,19,"13.65",8.63,2.22,1,"unique","unique",NA,NA
"venomous",19,19,"0.53",8.63,2.43,1,"venomous","venomous",NA,NA
"weightlessness",19,19,"0.20",8.63,2.11,1,"weightlessness","weightlessness","noun.attribute","attribute"
"winged",19,19,"1.14",8.63,3.92,1,"winged","winged",NA,NA
"playsuit",18,14,"0.02",8.64,3.91,0.78,"playsuit","playsuit","noun.artifact","artifact"
"backstroke",20,20,"0.27",8.65,2.16,1,"backstroke","backstroke","noun.act","act"
"bangle",21,17,"0.10",8.65,3.35,0.81,"bangle","bangle","noun.artifact","artifact"
"broil",20,20,"0.29",8.65,2.83,1,"broil","broil","noun.act","act"
"chilling",20,20,"1.61",8.65,2.37,1,"chilling","chilling","noun.process","noun.process"
"courteous",20,20,"1.22",8.65,2.8,1,"courteous","courteous",NA,NA
"creepers",20,20,"0.22",8.65,2.7,1,"creepers","creepers","noun.plant","plant"
"deposit",20,20,"10.80",8.65,2.89,1,"deposit","deposit","noun.phenomenon","phenomenon"
"dingy",20,20,"0.61",8.65,3.95,1,"dingy","dingy",NA,NA
"dinky",18,17,"1.02",8.65,3.04,0.94,"dinky","dinky","noun.artifact","artifact"
"doodler",18,17,"0.06",8.65,3.39,0.94,"doodler","doodler",NA,NA
"existing",20,20,"1.92",8.65,2.08,1,"existing","existing",NA,NA
"extension",20,20,"5.39",8.65,2.13,1,"extension","extension","noun.time","time"
"forearm",20,20,"0.98",8.65,2.28,1,"forearm","forearm","noun.body","body"
"gull",20,20,"1.10",8.65,3.83,1,"gull","gull","noun.person","person"
"hassle",21,20,"2.61",8.65,3.86,0.95,"hassle","hassle","noun.event","event"
"lifelike",20,20,"0.61",8.65,1.9,1,"lifelike","lifelike",NA,NA
"outwear",19,17,"0.02",8.65,3.26,0.89,"outwear","outwear",NA,NA
"patchwork",18,17,"0.10",8.65,3.12,0.94,"patchwork","patchwork","noun.cognition","cognition"
"plot",20,20,"11.59",8.65,1.73,1,"plot","plot","noun.cognition","cognition"
"reappear",20,20,"0.33",8.65,3.2,1,"reappear","reappear",NA,NA
"refried",18,17,"0.20",8.65,2.64,0.94,"refried","refried",NA,NA
"remarry",20,20,"0.86",8.65,2.89,1,"remarry","remarry",NA,NA
"sailorman",20,20,"0.08",8.65,3.76,1,"sailorman","sailorman",NA,NA
"smudgy",18,17,"0.02",8.65,3.24,0.94,"smudgy","smudgy",NA,NA
"sty",19,17,"0.37",8.65,2.67,0.89,"sty","sty","noun.state","state"
"tangy",18,17,"0.33",8.65,2.6,0.94,"tangy","tangy",NA,NA
"tentacle",20,20,"0.25",8.65,2.78,1,"tentacle","tentacle","noun.attribute","attribute"
