participant_id,block,trial,image_name,posX,posY,category,set,base_name
p006,1,3,fearful_4.jpg,2,5,emotions,4,fearful.jpg
p006,1,3,happy_3.jpg,5,2,emotions,3,happy.jpg
p006,1,3,happy_4.jpg,3,5,emotions,4,happy.jpg
p006,1,3,sad_3.jpg,10,4,emotions,3,sad.jpg
p006,1,3,sad_4.jpg,10,3,emotions,4,sad.jpg
p006,1,3,surprise_3.jpg,2,1,emotions,3,surprise.jpg
p006,1,3,surprise_4.jpg,1,5,emotions,4,surprise.jpg
p006,2,4,acorn_2.jpg,5,4,plants,2,acorn.jpg
p006,2,4,apple_2.jpg,5,3,plants,2,apple.jpg
p006,2,4,blueberry_2.jpg,5,5,plants,2,blueberry.jpg
p006,2,4,broccoli_2.jpg,4,2,plants,2,broccoli.jpg
p006,2,4,cabbage_2.jpg,4,3,plants,2,cabbage.jpg
p006,2,4,cactus_2.jpg,6,3,plants,2,cactus.jpg
p006,2,4,cherry_2.jpg,6,2,plants,2,cherry.jpg
p006,2,4,flower_2.jpg,5,6,plants,2,flower.jpg
p006,2,4,grass_2.jpg,4,6,plants,2,grass.jpg
p006,2,4,leaf_2.jpg,3,6,plants,2,leaf.jpg
p006,2,4,peanut_2.jpg,5,2,plants,2,peanut.jpg
p006,2,4,tree_2.jpg,6,6,plants,2,tree.jpg
p006,2,5,butterfly_1.jpg,7,4,animals,1,butterfly.jpg
p006,2,5,dolphin_1.jpg,7,3,animals,1,dolphin.jpg
p006,2,5,fish_1.jpg,4,5,animals,1,fish.jpg
p006,2,5,fox_1.jpg,5,5,animals,1,fox.jpg
p006,2,5,horse_1.jpg,7,5,animals,1,horse.jpg
p006,2,5,ladybug_1.jpg,4,3,animals,1,ladybug.jpg
p006,2,5,lion_1.jpg,10,5,animals,1,lion.jpg
p006,2,5,peacock_1.jpg,6,5,animals,1,peacock.jpg
p006,2,5,pigeon_1.jpg,8,5,animals,1,pigeon.jpg
p006,2,5,sheep_1.jpg,9,5,animals,1,sheep.jpg
p006,2,5,squirrel_1.jpg,4,4,animals,1,squirrel.jpg
p006,2,5,wolf_1.jpg,4,6,animals,1,wolf.jpg
p006,2,6,angry_1.jpg,8,1,emotions,1,angry.jpg
p006,2,6,angry_2.jpg,10,5,emotions,2,angry.jpg
p006,2,6,disgust_1.jpg,6,4,emotions,1,disgust.jpg
p006,2,6,disgust_2.jpg,10,4,emotions,2,disgust.jpg
p006,2,6,fearful_1.jpg,4,4,emotions,1,fearful.jpg
p006,2,6,fearful_2.jpg,3,6,emotions,2,fearful.jpg
p006,2,6,happy_1.jpg,4,3,emotions,1,happy.jpg
p006,2,6,happy_2.jpg,6,6,emotions,2,happy.jpg
p006,2,6,sad_1.jpg,7,6,emotions,1,sad.jpg
p006,2,6,sad_2.jpg,2,4,emotions,2,sad.jpg
p006,2,6,surprise_1.jpg,2,5,emotions,1,surprise.jpg
p006,2,6,surprise_2.jpg,6,3,emotions,2,surprise.jpg
